ASV,Kingdom,Phylum,Class,Order,Family,Genus,Site,Hours,Oxygen,Label,baseMean,log2FoldChange,lfcSE,pvalue,padj
Seq_821,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Čertovo,48 h,Oxic,Labelled,19.353597155156557,2.604341472873051,0.41528917919670844,3.820900915847795e-9,2.378277838352091e-7
Seq_430,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,Čertovo,48 h,Oxic,Labelled,19.77874573526184,2.1829018852857622,0.4464089823806526,6.961707921705644e-7,2.8200442247925084e-5
Seq_202,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Unclassified,Čertovo,48 h,Oxic,Labelled,19.95574744752345,2.4421811304368224,0.35997324447038725,3.1821485400438577e-10,2.6196267981264274e-8
Seq_1044,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Čertovo,48 h,Oxic,Labelled,20.80499924852906,3.5509659458380667,1.1259075157044156,5.935850911680787e-5,0.0017213967643874284
Seq_367,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Unclassified,Čertovo,48 h,Oxic,Labelled,21.182322396168182,0.9987228535797184,0.41841938964012426,5.979403834849761e-4,0.014261157557510834
Seq_372,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,Čertovo,48 h,Oxic,Labelled,21.638536786808093,1.2913206855200379,0.8812494301816415,0.002056550345642607,0.0441034998494112
Seq_707,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Čertovo,48 h,Oxic,Labelled,22.178546494161075,3.223877735127963,0.40526214477888983,7.008416556737231e-14,9.413410027786007e-12
Seq_503,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Čertovo,48 h,Oxic,Labelled,22.754110492592115,4.65459559603358,0.7646563037925949,1.1632093268740407e-9,8.02300054643933e-8
Seq_276,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Unclassified,Čertovo,48 h,Oxic,Labelled,22.763895719803592,6.625975898928063,0.9134741756432454,9.611282437269007e-14,1.2263996389955252e-11
Seq_77,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Čertovo,48 h,Oxic,Labelled,23.810432641575595,1.1018796120608598,0.2556774976180858,2.7075761021392192e-6,1.0108178251403262e-4
Seq_519,Bacteria,Actinobacteriota,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,Čertovo,48 h,Oxic,Labelled,25.197455769482023,3.837534546044945,0.6773593147807034,2.406269448382365e-8,1.2281599264543591e-6
Seq_56,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Unclassified,Čertovo,48 h,Oxic,Labelled,27.414064734517332,1.2973742494796925,0.4422383743891765,6.073981106336187e-5,0.0017416628970078594
Seq_163,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,Unclassified,Unclassified,Čertovo,48 h,Oxic,Labelled,28.955251680246405,1.8981767212780691,0.3182183157468723,8.878091316256507e-9,5.269043962578281e-7
Seq_955,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,Čertovo,48 h,Oxic,Labelled,30.549983398716044,6.175318228914086,0.9993650563660541,1.3167649735492996e-10,1.2001372187492188e-8
Seq_533,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Čertovo,48 h,Oxic,Labelled,32.544679644685374,3.688085578223475,0.6837503105385218,9.87225611106588e-8,4.549405173519348e-6
Seq_200,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptacidiphilus,Čertovo,48 h,Oxic,Labelled,34.033128664112795,6.3362914800457375,1.164368272918945,5.492836646427675e-9,3.337552171829387e-7
Seq_117,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Čertovo,48 h,Oxic,Labelled,35.669774038220844,0.7246966440705944,0.2129336558468596,0.0013418073788740118,0.030037652902512965
Seq_817,Bacteria,Actinobacteriota,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,Čertovo,48 h,Oxic,Labelled,36.59708688499367,5.126560263625505,0.764695323096964,1.9133306892394703e-11,1.8084518218293068e-9
Seq_431,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,Čertovo,48 h,Oxic,Labelled,37.80542550970273,4.289922131790035,0.7542555133162416,1.3952413414195788e-8,7.575863624048437e-7
Seq_672,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Unclassified,Čertovo,48 h,Oxic,Labelled,42.48358484648144,4.618161341824615,0.8583720225914167,4.6135914295520924e-8,2.276155057922583e-6
