Comparison,ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Certovo & Oxic & Labelled,Seq_138,133.94229826909088,3.475331148904984,0.4214028073653129,7.630065800956145,1.1731696055785537e-14,1.6358383687785958e-12
Certovo & Oxic & Labelled,Seq_172,128.73349717007235,3.767897692917334,0.44755949965392716,7.837835406532084,2.2918965003443842e-15,3.652300780191658e-13
Certovo & Oxic & Labelled,Seq_24,109.5022301989108,0.84926308206807255,0.13598517929791298,4.333289003334175,7.3449033092924125e-6,0.00027310798805052283
Certovo & Oxic & Labelled,Seq_333,75.78924422175157,5.201119797977129,0.5535154343410207,8.926796781845304,2.192609772539953e-19,4.447011275033304e-17
Certovo & Oxic & Labelled,Seq_276,73.67512762113145,3.8289195775510234,0.6180756258234843,5.774244167606551,3.8649638733532876e-9,2.52417702755349e-7
Certovo & Oxic & Labelled,Seq_200,69.95732415263933,3.991603322978714,0.5970047445496761,6.25054215573024,2.0451515454272299e-10,1.689901147351167e-8
Certovo & Oxic & Labelled,Seq_302,61.184460984196825,2.035249632453089,0.3940701244806129,4.504907939400075,3.3200861414193616e-6,1.3226986038404636e-4
Certovo & Oxic & Labelled,Seq_85,60.246697397026615,0.812809703046691,0.16189773233708263,3.4145611248939653,3.1942428665865163e-4,0.008585970885969298
Certovo & Oxic & Labelled,Seq_16,56.10338136177331,1.1232758736500286,0.20348327360193702,4.242490590842405,1.1052640601014224e-5,3.977167932397215e-4
Certovo & Oxic & Labelled,Seq_378,51.27470624652364,3.1867438366580845,0.36081393387915195,8.111504467669322,2.499841114273765e-16,4.647621271620641e-14
Certovo & Oxic & Labelled,Seq_569,48.5236431012696,5.574293340823345,0.7092683535813707,7.49264127461689,3.3750604286339456e-14,4.429270480166078e-12
Certovo & Oxic & Labelled,Seq_408,48.25335808836363,4.091303796104817,0.536815152935315,7.137100685692604,4.76600132130827e-13,5.0633090227803574e-11
Certovo & Oxic & Labelled,Seq_136,44.544549523142955,1.1609730422061273,0.21137126864218517,4.2625142385426,1.0106980718169748e-5,3.696503931514214e-4
Certovo & Oxic & Labelled,Seq_414,40.159294534844676,1.6695220363049545,0.24893962142369266,5.6621040405053185,7.476405719823255e-9,4.508070584033968e-7
Certovo & Oxic & Labelled,Seq_388,39.20124980287504,7.570495287511517,0.7998806833283015,9.139482225139584,3.137602497500102e-20,7.777767968803031e-18
Certovo & Oxic & Labelled,Seq_519,36.37337793717032,3.0091376505630048,0.5260088220885373,5.22640977702133,8.641654725965592e-8,4.016569102839424e-6
Certovo & Oxic & Labelled,Seq_431,34.85985464241568,3.3742666411997355,0.649057420211447,4.798137336116093,8.007398000592709e-7,3.502844105749477e-5
Certovo & Oxic & Labelled,Seq_546,32.862904413124795,3.4577088536896317,0.43859764635006393,7.2907569849050224,1.5410914232984403e-13,1.8095657712520107e-11
Certovo & Oxic & Labelled,Seq_533,27.98248180619266,3.720829383628335,0.5722448723600576,6.047811960909584,7.341308894609652e-10,5.283374239959398e-8
Certovo & Oxic & Labelled,Seq_600,27.192136572500072,2.0122807580496076,0.35147305586087424,4.985533681259549,3.0895506698636974e-7,1.3785575088931818e-5
Certovo & Oxic & Labelled,Seq_77,25.611234264298847,1.3183191842693551,0.19763913680867315,5.354805740190382,4.282419177771944e-8,2.171381178547547e-6
Certovo & Oxic & Labelled,Seq_672,25.38304366547419,3.842744171961069,0.4887571706508871,7.330315312182248,1.1480592861688172e-13,1.4229557041347951e-11
Certovo & Oxic & Labelled,Seq_651,24.619760054301786,1.7138760665208628,0.2898539158942684,5.015892443734316,2.6393927491725487e-7,1.2017316782457054e-5
Certovo & Oxic & Labelled,Seq_955,24.487047957386945,5.180379809815968,0.6176809345123417,7.9658923157481,8.20178713927706e-16,1.4075528544405478e-13
