Comparison,ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Plesne & Oxic & Labelled,Seq_117,51.08710006299231,0.782836566091174,0.10982264336764558,7.128189069994671,5.084901071371704e-13,2.8013182265920482e-11
Plesne & Oxic & Labelled,Seq_102,50.18283537685371,0.2845078165904482,0.09040219712013871,3.147133871230537,8.243972677817158e-4,0.010480798830959155
Plesne & Oxic & Labelled,Seq_56,47.59814550243949,2.31984146293966,0.2509318606976851,9.244905993561867,1.1772379206270317e-20,1.5287275283571027e-18
Plesne & Oxic & Labelled,Seq_388,45.18896152600145,5.109016337837721,0.48892767590403824,10.449431663673026,7.370295030350204e-26,1.339919636517667e-23
Plesne & Oxic & Labelled,Seq_136,44.21680035712659,1.490013688134583,0.17832042071705925,8.355821964433257,3.2489324357036525e-17,2.6847996218678367e-15
Plesne & Oxic & Labelled,Seq_169,38.35155976909737,0.3609720146355589,0.09784988409442709,3.6890387553981534,1.1255146550016078e-4,0.001748876617771729
Plesne & Oxic & Labelled,Seq_55,34.326363659684645,0.5332857920798368,0.16913886019709318,3.1529465875459524,8.081568904407443e-4,0.010346684695924459
Plesne & Oxic & Labelled,Seq_397,33.16843060323023,0.5211363381048963,0.15634421428696987,3.3332627016715204,4.291692797498576e-4,0.005910831443827584
Plesne & Oxic & Labelled,Seq_234,32.76659386737973,0.7460462303186882,0.1415726453973894,5.269706080751425,6.832119091708651e-8,1.800114856337149e-6
Plesne & Oxic & Labelled,Seq_299,32.53338747442213,1.2098840406414473,0.23223821103854922,5.20966827651208,9.458928012153836e-8,2.4220184684641795e-6
Plesne & Oxic & Labelled,Seq_173,31.913615848251762,2.2779850801189325,0.25984284600545443,8.76678005624644,9.192421810450047e-19,9.284346028554547e-17
Plesne & Oxic & Labelled,Seq_208,30.099834735386537,1.1226917144377007,0.14815620201371565,7.577757118353822,1.7578989169432954e-14,1.1836519374084855e-12
Plesne & Oxic & Labelled,Seq_203,29.68237921113251,0.5724435950669334,0.13449652635951512,4.256196130573414,1.039671581136174e-5,1.9688780567766293e-4
Plesne & Oxic & Labelled,Seq_131,27.71117704033882,0.3470755929453903,0.0971124378296944,3.573956134785279,1.758139311724027e-4,0.0026415679906729595
Plesne & Oxic & Labelled,Seq_327,27.57410357830421,1.7247275498949104,0.22613872616260333,7.626856218579555,1.2027381011767563e-14,8.40991487668978e-13
Plesne & Oxic & Labelled,Seq_172,26.198236950750257,3.578683621127218,0.35799404277417973,9.996489308579438,7.894783827281949e-24,1.1960597498332152e-21
Plesne & Oxic & Labelled,Seq_333,26.062484912288486,3.8656386579964908,0.3489838027252084,11.076842615072064,8.125123109146862e-29,1.8464342265536246e-26
Plesne & Oxic & Labelled,Seq_146,25.426134973587963,0.3900808816810444,0.11732906949240697,3.324673786032955,4.42610222037127e-4,0.006050115666642834
Plesne & Oxic & Labelled,Seq_219,25.158917083533332,0.43532158761645606,0.15735567730116679,2.766481610849564,0.002833239031039246,0.029266071354712212
Plesne & Oxic & Labelled,Seq_533,24.674563693311963,3.177287727512798,0.4352504698520221,7.299906485093567,1.4398390128225366e-13,8.725424417704572e-12
Plesne & Oxic & Labelled,Seq_496,23.83240461943012,0.5955553493866764,0.192823582034645,3.0886022503184893,0.0010055023892655154,0.012268478816675884
Plesne & Oxic & Labelled,Seq_181,22.382269670769432,0.5363214927761768,0.13897238066405662,3.859194828594379,5.688060934771677e-5,9.232941767334741e-4
Plesne & Oxic & Labelled,Seq_276,22.09381616053361,3.1729092529400136,0.3475343400307427,9.12977190299911,3.43218846048236e-20,4.15981241410462e-18
Plesne & Oxic & Labelled,Seq_400,20.962956310460072,0.698407132896922,0.12700222659917867,5.499172349954994,1.907890156441932e-8,5.419600475642862e-7
