Comparison,ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Certovo & 48 h & Anoxic & Labelled,Seq_124,30.741921280716877,0.8073186459780157,0.24631814703147806,3.2775443291835296,5.235714338625313e-4,0.03726876661039655
Certovo & 48 h & Anoxic & Labelled,Seq_216,30.661428013065507,0.8039872105582166,0.2941997742898828,2.7327934309223054,0.0031399852383649854,0.09834433766559135
Certovo & 48 h & Anoxic & Labelled,Seq_472,22.814539043057927,0.7067026024377764,0.2507409745442519,2.818456790806858,0.0024127552705458244,0.08856973683616856
Certovo & 48 h & Anoxic & Labelled,Seq_166,22.41911882328325,1.0566113476047159,0.3001373558483816,3.520425988354736,2.1542710842725106e-4,0.01874215843317084
Certovo & 48 h & Anoxic & Labelled,Seq_331,19.425121335079123,1.0508251748091046,0.3504695109833726,2.9983354953206165,0.0013572933094845002,0.06440973705008264
Certovo & 48 h & Anoxic & Labelled,Seq_350,17.942398714871278,4.012068067028029,1.3252579491258258,3.0273865323158344,0.0012333915248349213,0.06230616541585441
Certovo & 48 h & Anoxic & Labelled,Seq_225,17.732337988550388,2.9150488915304296,1.035208007988983,2.8159064352615135,0.002431991496778575,0.08856973683616856
Certovo & 48 h & Anoxic & Labelled,Seq_464,15.885991870674829,21.863476446642807,2.9942411544468692,7.301842209393345,1.419270234802112e-13,2.2225771877001075e-10
Certovo & 48 h & Anoxic & Labelled,Seq_198,15.76467054939022,4.252034066526142,1.3576065206807044,3.1320076927696037,8.680766307681451e-4,0.050040880135122194
Certovo & 48 h & Anoxic & Labelled,Seq_658,14.948764578634817,1.4404249167232324,0.36989035006007903,3.8941943645982464,4.926281450609637e-5,0.007013233410595175
Certovo & 48 h & Anoxic & Labelled,Seq_430,14.930099737466527,1.358658678183247,0.4614888243743011,2.944077096613017,0.0016195964905069196,0.07459670894511283
Certovo & 48 h & Anoxic & Labelled,Seq_337,14.874148740920146,5.941828544809703,1.579409926686635,3.7620559706590977,8.426116065678032e-5,0.010150229045270614
Certovo & 48 h & Anoxic & Labelled,Seq_136,13.480651436445717,1.2491345875006752,0.4382339459637772,2.8503829952139856,0.0021833306542966995,0.08766912319560594
